text,span1,label
"The red and green of the Aztec necklace links it compositionally with the indigenous plants to the ‘ south ’ of the painting , the pink colonial-style dress tonally blending with the skyscrapers to the ‘ north ’ .","[36, 37]",1
No one who was at the Brewery Field ( perhaps not even the selectors ) would give twopence for their ability to do so .,"[16, 17]",1
"McLeish thanked him gravely , feeling , as he often did with the Wilsons , that he was being enveloped in a large feather eiderdown , and , made restless by the call , went down the corridor to where he knew Catherine Crane was also in , getting her office in order .","[5, 6]",1
Britain still can not decide when to play the mandarinate game of silence with the Chinese and when to break the rules ( as Beijing does all the time . ),"[7, 8]",1
"This highlights the challenges for research in a field categorized by a lack of data for some countries , varying definitions and standards in use , and unreasonably high user expectations .","[1, 2]",1
I 'm an inspector for the local education authority . ’,"[3, 4]",0
The electric force on an electron of charge e travelling at the edge of the beam ( R = a ) is it is in the radial direction pointing outwards .,"[15, 16]",1
"‘ Sir David English was not informed of the visit and in consequence had no plans to attend the Ideal Home Exhibition that day , ’ the official statement announced .","[29, 30]",1
"Those were the facts , as far as he knew them up to this moment .","[9, 10]",0
"Er , I remember you said about","[0, 1]",0
"Many American jurisdictions have three degrees of murder — first-degree murder , requiring premeditation , and second- and third-degree murder , covering lesser shades of culpability .","[9, 10]",1
"No , going on holiday","[4, 5]",0
"The time-consuming nature of Janet 's part in the process , combined with a bad back which prevents her spending more than a couple of hours at the drawing board every day , means she can not keep up with her husband 's prolific output .","[31, 32]",0
"Two goals from the irrepressible Andy Ritchie , his 13th and 14th this season , and a third by the 20-year-old midfield player Nick Henry , and Arsenal were sunk with only the trace of a last-minute goal by Quinn .","[29, 30]",1
You know where the porter 's desk is ?,"[4, 5]",0
"In his characteristic phrase , "" I am their leader , I must follow them "" — but he determined to follow them from the front .","[25, 26]",1
When he collaborated directly with her in opera the result was of historical significance .,"[2, 3]",0
They kept their secret identities and paid for it through their Swiss bank accounts .,"[1, 2]",1
"Alexander considered the decorative gold body , itself a repetition of a body on the Parthenon frieze .","[4, 5]",1
Well I 've known anyone to be five years and no use whatsoever .,"[8, 9]",0
"And it may be that these disadvantages help to cause parental difficulties , and hamper good parenting .","[7, 8]",0
"The only government support so far has been a recommendation by the Rural Development Commission , part of the Department of the Environment , to establish a pilot scheme .","[19, 20]",0
"Instead , he rationalized his thoughts and justified himself Adam probably — indeed , almost certainly — knew nothing about the find in the pine wood , but Adam had once owned the house and had thus taken on a responsibility .","[37, 38]",0
"If the approach was that way he would get no warning at all , and it would be on top of George — his name for the dummy sitting like a drunken son-of-a-bitch — before he knew it .","[32, 33]",1
"MON 9 OCT Steve Marriott & Mickey Hutton In among those on their way up , and those who will never go anywhere , the pub rock circuit plays host to those who were once really something .","[13, 14]",1
Its continued presence always surprised him since it served no purpose that he could see except symbolically to cut off the headland and to give travellers pause to consider whether they really wanted to continue .,"[8, 9]",1
Back room stage so small the performers have to rest their mike stands on the floor in front .,"[9, 10]",1
"In a culture where sexual metaphors are frequently used to convey racial and political conflict , the Tehuana represents that aspect of Mexico 's indigenous tradition unbowed by centuries of colonial and male rule .","[10, 11]",1
"Does any drink look more quenching than one of those Italian or French patent aperitifs , swirling in a refractive pink or russet oiliness , clothing the melting ice : a Campari , Dubonnet , Lillet or ( too rare in this country ) a Picon ?","[5, 6]",1
"‘ A white man has blood , red blood also . ’","[7, 8]",0
"If you were a gambling man it would not affect you , it would just be lost .","[16, 17]",1
"But her desire to provide a period of stability for nearly one million people employed by the NHS is coupled with a fierce determination to maintain the momentum of reform , with the overwhelming majority of hospitals becoming self-governing trusts by the mid-1990s .","[19, 20]",1
and it does mean that they can relax you know about work and everything,"[7, 8]",1
King 's Head Fulham ( details below ) 8pm £2 .,"[5, 6]",0
Claudia speaks : ‘ Your son must say it was an accident .,"[1, 2]",0
This was the essence of the problem : the press could only be managed by someone who knew their methods and who would not expect them to come round to Central Office to search for news .,"[31, 32]",0
and erm they had this one down in the shop next to er,"[12, 13]",0
"A high level of mobility in the structure allows for continuous interchange of roles and ideas , and retains for the Unified National Command the closeness to grass roots that is required to make it truly reflect people 's wishes and sentiments .","[4, 5]",1
Neither boys nor girls at the moratorium stage are likely to be attracted to the science that is usually presented in our schools .,"[12, 13]",1
"He was reaching-for the blue directory when Anne came back with Abigail in her arms , so Adam took her and carried her back to bed himself and tucked her in and kissed her .","[14, 15]",0
"But some reports have suggested that low zinc levels may lead to problems in pregnancy , from difficult labour to congenital malformations in children .","[4, 5]",1
Individual globes have a diameter of 1½–2 cm .,"[4, 5]",0
In parliament there would be a carefully organized campaign of resistance that would at least slow the government down and raise Unionist morale .,"[15, 16]",1
One Mr Clarke can not duck away from if he wants to avoid a second Winter of Discontent ..,"[14, 15]",0
"A great many crocodile tears were shed , for , since Unionists had such an elevated view of the principle of leadership , they were unable to accept that they had just driven their own leader from office .","[3, 4]",0
"As George Graham indicated upon his side 's accession to the title , they would need more composure and sophistication to match Liverpool in the longer term .","[3, 4]",1
